727	3946	4756.204203367233
736	3898	4661.413486242294
746	3846	4653.9891583919525
756	3795	4502.257085084915
766	3745	4378.139047384262
776	3697	4336.273642063141
787	3645	4235.039205312729
798	3595	4126.094949960709
809	3546	4095.1694293022156
820	3499	4089.895806789398
832	3448	3930.1969861984253
844	3399	3929.356819629669
857	3348	3849.2656877040863
870	3298	3778.982919216156
883	3249	3758.4733498096466
897	3198	3650.5686790943146
911	3149	3607.865656375885
926	3098	3521.27485370636
941	3049	3502.6794669628143
957	2998	3477.4170212745667
973	2948	3410.676514863968
990	2898	3255.320048570633
1007	2849	3243.2180547714233
1025	2799	3177.859799385071
1044	2748	3213.4941499233246
1063	2699	3110.383998632431
1083	2649	3022.360557079315
1104	2599	2960.9441423416138
1126	2548	2935.813449382782
1148	2499	2920.475213766098
1172	2448	2905.2305960655212
1196	2399	3053.8774135112762
1222	2348	3012.22177529335
1248	2299	3001.425372362137
1276	2248	3023.7690045833588
1305	2198	2978.7266323566437
1335	2149	2934.219897508621
1367	2099	2850.070474624634
1400	2049	2791.522362470627
1435	1999	2970.7671308517456
1472	1949	2965.0081453323364
1511	1898	2844.8481369018555
1552	1848	2811.664943218231
1595	1798	2781.8635759353638
1640	1749	2712.174237728119
1688	1699	2662.6865282058716
1740	1649	2525.707889318466
1794	1599	2496.9267904758453
1852	1549	2445.140433549881
1913	1499	2407.32896232605
1979	1449	2384.9565513134003
2050	1399	2276.707953929901
2126	1349	2219.02406001091
2208	1299	2244.673741579056
2296	1249	2134.4815430641174
2392	1199	2148.7775716781616
2496	1149	2121.5731875896454
2609	1099	2086.445519208908
2733	1049	2004.5841979980469
2870	999	2025.7361423969269
3021	949	1974.5654706954956
3189	899	1938.5744261741638
3376	849	1960.8890988826752
3587	799	2010.309428691864
3826	749	1936.1434128284454
4100	699	1832.2654256820679
4415	649	1924.6288747787476
4783	599	1976.9043855667114
5218	549	1963.5269677639008
5739	499	2081.8527195453644
6377	449	2113.945095539093
7174	399	2115.4941906929016
8199	349	2383.0003731250763
9565	299	2304.3048894405365
11478	249	2493.053736925125
14347	199	2618.036883354187
19130	149	2179.374546289444
28694	99	824.1016228199005
57388	49	1587.8004324436188
